name,url,category,description
Paget disease extramammary,https://en.wikipedia.org/wiki/Paget_disease_extramammary,P,"Extramammary Paget's disease (EMPD) is a rare and slow-growing cancer, which occurs within the epithelial tissues[1] and accounts for 6.5% of all Paget's disease.[2] This disease presents similarly to the more conventional form of mammary Paget's disease (MPD).[3] However, unlike MPD, which occurs in large milk-carrying ducts in the breast and then extends into the epidermis,[3] EMPD begins in glandular regions rich in apocrine secretions outside the mammary glands.[4] EMPD incidence is increasing by 3.2% every year, affecting hormonally-targeted tissues such as the vulva and scrotum.[5] In women, 81.3% of EMPD cases are related to the vulva, while for men, 43.2% of the manifestations present at the scrotum.[5]
"
Pacman dysplasia,https://en.wikipedia.org/wiki/Pacman_dysplasia,P,"Pacman dysplasia  is a lethal autosomal recessive skeletal dysplasia.  The dysplasia is present during fetal development.[1]
"
Pachygyria,https://en.wikipedia.org/wiki/Pachygyria,P,"Pachygyria (from Greek  pachy 'thick, fat' gyri) is a congenital malformation of the cerebral hemisphere. It results in unusually thick convolutions of the cerebral cortex. Typically, children have developmental delay and seizures, the onset and severity depending on the severity of the cortical malformation. Infantile spasms are common in affected children, as is intractable epilepsy.[citation needed]
"
Pachyonychia congenita Jackson–Lawler type,https://en.wikipedia.org/wiki/Pachyonychia_congenita_Jackson%E2%80%93Lawler_type,P,"Pachyonychia congenita (often abbreviated as ""PC"") is a rare group of autosomal dominant skin disorders that are caused by a mutation in one of five different keratin genes. Pachyonychia congenita is often associated with thickened toenails, plantar keratoderma, and plantar pain.
"
Systemic necrotizing angeitis,https://en.wikipedia.org/wiki/Systemic_necrotizing_angeitis,S,"

"
Systemic carnitine deficiency,https://en.wikipedia.org/wiki/Systemic_carnitine_deficiency,S,"Systemic primary carnitine deficiency (SPCD)[1]  is an inborn error of fatty acid transport caused by a defect in the transporter responsible for moving carnitine across the plasma membrane. Carnitine is an important amino acid for fatty acid metabolism.[4] When carnitine cannot be transported into tissues, fatty acid oxidation is impaired, leading to a variety of symptoms such as chronic muscle weakness, cardiomyopathy, hypoglycemia and liver dysfunction.  The specific transporter involved with SPCD is OCTN2, coded for by the SLC22A5 gene located on chromosome 5.  SPCD is inherited in an autosomal recessive manner, with mutated alleles coming from both parents.
"
Systemic mastocytosis,https://en.wikipedia.org/wiki/Systemic_mastocytosis,S,"Mastocytosis, a type of mast cell disease, is a rare disorder affecting both children and adults caused by the accumulation of functionally defective mast cells (also called mastocytes) and CD34+ mast cell precursors.[1]
"
Systemic arterio-veinous fistula,https://en.wikipedia.org/wiki/Systemic_arterio-veinous_fistula,S,"An arteriovenous fistula is an abnormal connection or passageway between an artery and a vein.[1] It may be congenital, surgically created for hemodialysis treatments, or acquired due to pathologic process, such as trauma or erosion of an arterial aneurysm.[2]
"
Syringomyelia,https://en.wikipedia.org/wiki/Syringomyelia,S,"Syringomyelia is a generic term referring to a disorder in which a cyst or cavity forms within the spinal cord. Often, syringomyelia is used as a generic term before an etiology is determined.[3] This cyst, called a syrinx, can expand and elongate over time, destroying the spinal cord. The damage may result in loss of feeling, paralysis, weakness,[4] and stiffness in the back, shoulders, and extremities. 
"
Systemic lupus erythematosus,https://en.wikipedia.org/wiki/Systemic_lupus_erythematosus,S,"

"
Synpolydactyly,https://en.wikipedia.org/wiki/Synpolydactyly,S,"Synpolydactyly (SPD) is a joint presentation of syndactyly (fusion of digits) and polydactyly (production of supernumerary digits).[1][2] SPD affects both hands and feet, often occurring symmetrically on both body sides.[3] This is often a result of a mutation in the HOXD13 gene,[2] as HOXD genes are necessary in early limb bud development and specification of the limbs.[4]
"
Synovitis,https://en.wikipedia.org/wiki/Synovitis,S,"Synovitis is the medical term for inflammation of the synovial membrane. This membrane lines joints that possess cavities, known as synovial joints. The condition is usually painful, particularly when the joint is moved. The joint usually swells due to synovial fluid collection.
"
Synovitis granulomatous uveitis cranial neuropathi,https://en.wikipedia.org/wiki/Synovitis_granulomatous_uveitis_cranial_neuropathi,S,"Blau syndrome is an autosomal dominant genetic inflammatory disorder which affects the skin, eyes, and joints. It is caused by a mutation in the NOD2 (CARD15) gene.[2] and is classified as an inborn error of immunity.[3] Symptoms usually begin before the age of four, and the disease manifests as early onset cutaneous sarcoidosis, granulomatous arthritis, and uveitis.
"
Syphilis,https://en.wikipedia.org/wiki/Syphilis,S,"



"
Syringocystadenoma papilliferum,https://en.wikipedia.org/wiki/Syringocystadenoma_papilliferum,S,"Syringocystadenoma papilliferum is a rare non-malignant adnexal neoplasm that develops from apocrine or eccrine sweat glands and can be identified histologically by cystic, papillary, and ductal invaginations into the dermis lined by double-layered outer cuboidal and luminal high columnar epithelium and connected to the epidermis.[1]
"
Syringobulbia,https://en.wikipedia.org/wiki/Syringobulbia,S,"Syringobulbia is a medical condition in which syrinxes, or fluid-filled cavities, affect the brainstem (usually the lower brainstem). The exact cause is often unknown, but may be linked to a widening of the central canal of the spinal cord. This may affect one or more cranial nerves, resulting in various kinds of facial palsies. Sensory and motor nerve pathways may be affected by interruption or compression of nerves. This disorder is associated with syringomyelia, a syrinx limited to the spinal cord. It can be diagnosed using magnetic resonance imaging. Symptoms may be treated with tricyclic antidepressants.
"
Synovitis acne pustulosis hyperostosis osteitis,https://en.wikipedia.org/wiki/Synovitis_acne_pustulosis_hyperostosis_osteitis,S,"SAPHO syndrome includes a variety of inflammatory bone disorders that may be associated with skin changes. These diseases share some clinical, radiologic, and pathologic characteristics.
"
Syphilis embryopathy,https://en.wikipedia.org/wiki/Syphilis_embryopathy,S,"Congenital syphilis is syphilis that occurs when a mother with untreated syphilis passes the infection to her baby during pregnancy or at birth.[4] It may present in the fetus, infant, or later.[1][5] Clinical features vary and differ between early onset, that is presentation before 2-years of age, and late onset, presentation after age 2-years.[4] Infection in the unborn baby may present as poor growth, non-immune hydrops leading to premature birth or loss of the baby, or no signs.[2][4] Affected newborns mostly initially have no clinical signs.[4] They may be small and irritable.[4] Characteristic features include a rash, fever, large liver and spleen, a runny and congested nose, and inflammation around bone or cartilage.[2][4] There may be jaundice, large glands, pneumonia (pneumonia alba), meningitis, warty bumps on genitals, deafness or blindness.[4][6][7] Untreated babies that survive the early phase may develop skeletal deformities including deformity of the nose, lower legs, forehead, collar bone, jaw, and cheek bone.[4] There may be a perforated or high arched palate, and recurrent joint disease.[2][4] Other late signs include linear perioral tears, intellectual disability, hydrocephalus, and juvenile general paresis.[4] Seizures and cranial nerve palsies may first occur in both early and late phases.[4] Eighth nerve palsy, interstitial keratitis and small notched teeth may appear individually or together; known as Hutchinson's triad.[4]
"
Synovialosarcoma,https://en.wikipedia.org/wiki/Synovialosarcoma,S,"A synovial sarcoma (also known as malignant synovioma[1]) is a rare form of cancer which occurs primarily in the extremities of the arms or legs, often in proximity to joint capsules and tendon sheaths.[2] It is a type of soft-tissue sarcoma.
"
Synovial osteochondromatosis,https://en.wikipedia.org/wiki/Synovial_osteochondromatosis,S,"Synovial osteochondromatosis (SOC) (synonyms include synovial chondromatosis, primary synovial chondromatosis, synovial chondrometaplasia) is a rare disease that creates a benign change or proliferation in the synovium or joint-lining tissue, which changes to form bone-forming cartilage.  In most occurrences, there is only one joint affected, either the knee, the hip, or the elbow. Rarely involves the TMJ.[1]
"
Synovial sarcoma,https://en.wikipedia.org/wiki/Synovial_sarcoma,S,"A synovial sarcoma (also known as malignant synovioma[1]) is a rare form of cancer which occurs primarily in the extremities of the arms or legs, often in proximity to joint capsules and tendon sheaths.[2] It is a type of soft-tissue sarcoma.
"
Syringomas,https://en.wikipedia.org/wiki/Syringomas,S,"Syringomas are benign eccrine sweat duct tumors, typically found clustered on eyelids, although they may also be found in the armpits, abdomen, chest, neck, scalp, or groin area, including genitals, in a symmetric pattern.[1]: 663   They are skin-colored or yellowish firm, rounded bumps, 1–3 mm in diameter, and may be confused with xanthoma, milia, hidrocystoma, trichoepithelioma, and xanthelasma.[2]  They are more common in women[3] and are most commonly found in middle-aged Asian women.  While they can present at any time in life, they typically present during adolescence.  They are usually not associated with any other symptoms, although can sometimes cause itchiness or irritation.[4]
"
Pachydermoperiostosis,https://en.wikipedia.org/wiki/Pachydermoperiostosis,P,"Pachydermoperiostosis (PDP) is a rare genetic disorder that affects both bones and skin.[1] Other names are primary hypertrophic osteoarthropathy or Touraine-Solente-Golé syndrome.[2] It is mainly characterized by pachyderma (thickening of the skin), periostosis (excessive bone formation) and finger clubbing (swelling of tissue with loss of normal angle between nail and nail bed).[1][3]
"
Synechia,https://en.wikipedia.org/wiki/Synechia_(eye),S,"Ocular synechia is an eye condition where the iris adheres to either the cornea (i.e. anterior synechia) or lens (i.e. posterior synechia).[1][2] Synechiae can be caused by ocular trauma, iritis or iridocyclitis and may lead to certain types of glaucoma. It is sometimes visible on careful examination but usually more easily through an ophthalmoscope or slit-lamp.
"
Synovial cancer,https://en.wikipedia.org/wiki/Synovial_cancer,S,"A synovial sarcoma (also known as malignant synovioma[1]) is a rare form of cancer which occurs primarily in the extremities of the arms or legs, often in proximity to joint capsules and tendon sheaths.[2] It is a type of soft-tissue sarcoma.
"
Synesthesia,https://en.wikipedia.org/wiki/Synesthesia,S,"

"
Syndrome of inappropriate antidiuretic hormone,https://en.wikipedia.org/wiki/Syndrome_of_inappropriate_antidiuretic_hormone,S,"Syndrome of inappropriate antidiuretic hormone secretion (SIADH), also known as the syndrome of inappropriate antidiuresis (SIAD),[2] is characterized by a physiologically inappropriate release of antidiuretic hormone (ADH) either from the posterior pituitary gland, or an ectopic non-pituitary source, such as an ADH-secreting tumor in the lung.[1] Unsuppressed ADH causes a physiologically inappropriate increase in solute-free water being reabsorbed by the tubules of the kidney to the venous circulation leading to hypotonic hyponatremia (a low plasma osmolality and low sodium levels).[2]
"
Syndactyly type 5,https://en.wikipedia.org/wiki/Syndactyly_type_5,S,"Syndactyly is a condition wherein two or more digits are fused together. It occurs normally in some mammals,[1] but is an unusual condition in humans. The term is from Ancient Greek  σύν (syn) 'together' and  δάκτυλος (daktulos) 'finger'.
"
Syndactyly type 3,https://en.wikipedia.org/wiki/Syndactyly_type_3,S,"Syndactyly is a condition wherein two or more digits are fused together. It occurs normally in some mammals,[1] but is an unusual condition in humans. The term is from Ancient Greek  σύν (syn) 'together' and  δάκτυλος (daktulos) 'finger'.
"
Syndactyly type 2,https://en.wikipedia.org/wiki/Syndactyly_type_2,S,"Syndactyly is a condition wherein two or more digits are fused together. It occurs normally in some mammals,[1] but is an unusual condition in humans. The term is from Ancient Greek  σύν (syn) 'together' and  δάκτυλος (daktulos) 'finger'.
"
Syndactyly ectodermal dysplasia cleft lip palate hand foot,https://en.wikipedia.org/wiki/Syndactyly_ectodermal_dysplasia_cleft_lip_palate_hand_foot,S,"Ectrodactyly–ectodermal dysplasia–cleft syndrome, or EEC, and also referred to as EEC syndrome[1] and split hand–split foot–ectodermal dysplasia–cleft syndrome[2]: 520  is a rare form of ectodermal dysplasia, an autosomal dominant disorder inherited as a genetic trait.[3]: 571  EEC is characterized by the triad of ectrodactyly, ectodermal dysplasia, and facial clefts.[4] Other features noted in association with EEC include vesicoureteral reflux, recurrent urinary tract infections,[5] obstruction of the nasolacrimal duct,[6] decreased pigmentation of the hair and skin, missing or abnormal teeth, enamel hypoplasia, absent punctae in the lower eyelids, photophobia, occasional cognitive impairment and kidney anomalies, and conductive hearing loss.[7][8]
"
Syndactyly between 4 and 5,https://en.wikipedia.org/wiki/Syndactyly_between_4_and_5,S,"Syndactyly is a condition wherein two or more digits are fused together. It occurs normally in some mammals,[1] but is an unusual condition in humans. The term is from Ancient Greek  σύν (syn) 'together' and  δάκτυλος (daktulos) 'finger'.
"
Syndactyly,https://en.wikipedia.org/wiki/Syndactyly,S,"Syndactyly is a condition wherein two or more digits are fused together. It occurs normally in some mammals,[1] but is an unusual condition in humans. The term is from Ancient Greek  σύν (syn) 'together' and  δάκτυλος (daktulos) 'finger'.
"
Syncopal tachyarythmia,https://en.wikipedia.org/wiki/Syncopal_tachyarythmia,S,"
"
Syncope,https://en.wikipedia.org/wiki/Fainting,S,"
"
Syndactyly type 1 microcephaly mental retardation,https://en.wikipedia.org/wiki/Syndactyly_type_1_microcephaly_mental_retardation,S,"Filippi syndrome, also known as Syndactyly Type I with Microcephaly and Mental Retardation, is a very rare autosomal recessive genetic disease.[1] Only a very limited number of cases have been reported to date.[2] Filippi Syndrome is associated with diverse symptoms of varying severity across affected individuals, for example malformation of digits, craniofacial abnormalities, intellectual disability, and growth retardation.[1] The diagnosis of Filippi Syndrome can be done through clinical observation, radiography, and genetic testing.[2][3] Filippi Syndrome cannot be cured directly as of 2022, hence the main focus of treatments is on tackling the symptoms observed on affected individuals.[1][2] It was first reported in 1985.[4]
"
Syncopal paroxysmal tachycardia,https://en.wikipedia.org/wiki/Syncopal_paroxysmal_tachycardia,S,"
"
Swyer–James–McLeod syndrome,https://en.wikipedia.org/wiki/Swyer%E2%80%93James_syndrome,S,"Swyer–James syndrome (SJS), also called Swyer–James–MacLeod syndrome, is a rare disease of the lungs, characterized by a small lung or part of lung.[1] Typical symptoms are of recurrent respiratory tract infections, but some have no symptoms.[2]
"
Sweet syndrome,https://en.wikipedia.org/wiki/Sweet_syndrome,S,"Sweet syndrome (SS), or acute febrile neutrophilic dermatosis,[1][2] is a skin disease characterized by the sudden onset of fever, an elevated white blood cell count, and tender, red, well-demarcated papules and plaques that show dense infiltrates by neutrophil granulocytes on histologic examination.
"
Swimmer's ear,https://en.wikipedia.org/wiki/Swimmer%27s_ear,S,"
"
Sutton disease II,https://en.wikipedia.org/wiki/Sutton_disease_II,S,"

"
Swyer syndrome,https://en.wikipedia.org/wiki/Swyer_syndrome,S,"XY complete gonadal dysgenesis, also known as Swyer syndrome, is a type of defect hypogonadism in a person whose karyotype is 46,XY. Though they typically have normal vulvas,[1] the person has underdeveloped gonads, fibrous tissue termed ""streak gonads"", and if left untreated, will not experience puberty. The cause is a lack or inactivation of an SRY gene which is responsible for sexual differentiation. Pregnancy is sometimes possible in Swyer syndrome with assisted reproductive technology.[2][3][4] The phenotype is usually similar to Turner syndrome (45,X0) due to a lack of X inactivation. The typical medical treatment is hormone replacement therapy.[5]
"
Susac syndrome,https://en.wikipedia.org/wiki/Susac_syndrome,S,"
"
Swine influenza,https://en.wikipedia.org/wiki/Swine_influenza,S,"Swine influenza is an infection caused by any of several types of swine influenza viruses. Swine influenza virus (SIV) or swine-origin influenza virus (S-OIV) refers to any strain of the influenza family of viruses that is endemic in pigs.[2] As of 2009, identified SIV strains include influenza C and the subtypes of influenza A known as H1N1, H1N2, H2N1, H3N1, H3N2, and H2N3.[3]
"
Sydenham's chorea,https://en.wikipedia.org/wiki/Sydenham%27s_chorea,S,"Sydenham's chorea, also known as rheumatic chorea, is a disorder characterized by rapid, uncoordinated jerking movements primarily affecting the face, hands and feet.[1] Sydenham's chorea is an autoimmune disease that results from childhood infection with Group A beta-haemolytic Streptococcus.  It is reported to occur in 20–30% of people with acute rheumatic fever and is one of the major criteria for it, although it sometimes occurs in isolation. The disease occurs typically a few weeks, but up to 6 months, after the acute infection, which may have been a simple sore throat (pharyngitis).
"
Suriphobia,https://en.wikipedia.org/wiki/Musophobia,S,"
"
Sweeley–Klionsky disease,https://en.wikipedia.org/wiki/Fabry_disease,S,"

"
Superior oblique myokymia,https://en.wikipedia.org/wiki/Superior_oblique_myokymia,S,"Superior oblique myokymia is a neurological disorder affecting vision and was named by Hoyt and Keane in 1970.[1]
"
Sugarman syndrome,https://en.wikipedia.org/wiki/Sugarman_syndrome,S,"Sugarman syndrome is the common name of autosomal recessive oral-facial-digital syndrome type III, one of ten distinct genetic disorders that involve developmental defects to the mouth.[1]
"
Sulfite oxidase deficiency,https://en.wikipedia.org/wiki/Sulfite_oxidase_deficiency,S,"Sulfite oxidase (EC 1.8.3.1) is an enzyme in the mitochondria of all eukaryotes, with exception of the yeasts.[citation needed] It oxidizes sulfite to sulfate and, via cytochrome c, transfers the electrons produced to the electron transport chain, allowing generation of ATP in oxidative phosphorylation.[5][6][7]  This is the last step in the metabolism of sulfur-containing compounds and the sulfate is excreted.
"
Supranuclear ocular palsy,https://en.wikipedia.org/wiki/Supranuclear_ocular_palsy,S,"
"
"Sulfatidosis juvenile, Austin type","https://en.wikipedia.org/wiki/Sulfatidosis_juvenile,_Austin_type",S,"Multiple sulfatase deficiency (MSD), also known as Austin disease,[1] or mucosulfatidosis,[1] is a very rare autosomal recessive[2] lysosomal storage disease[3] caused by a deficiency in multiple sulfatase enzymes, or in formylglycine-generating enzyme, which activates sulfatases.[4]: 502 [5] It is similar to mucopolysaccharidosis.[6]
"
Sudden sniffing death syndrome,https://en.wikipedia.org/wiki/Inhalant_abuse,S,"
"
Succinyl-CoA acetoacetate transferase deficiency,https://en.wikipedia.org/wiki/Succinyl-CoA_acetoacetate_transferase_deficiency,S,"Succinyl-CoA:3-oxoacid CoA transferase  deficiency  is an inborn error of ketone body utilization. Succinyl-CoA:3-oxoacid CoA transferase catalyzes the transfer of coenzyme A from succinyl-coenzyme A to acetoacetate. It can be caused by mutation in the OXCT1 gene.
"
Superior mesenteric artery syndrome,https://en.wikipedia.org/wiki/Superior_mesenteric_artery_syndrome,S,"Superior mesenteric artery (SMA) syndrome is a gastro-vascular disorder in which the third and final portion of the duodenum is compressed between the abdominal aorta (AA) and the overlying superior mesenteric artery.  This rare, potentially life-threatening syndrome is typically caused by an angle of 6–25° between the AA and the SMA, in comparison to the normal range of 38–56°, due to a lack of retroperitoneal and visceral fat (mesenteric fat). In addition, the aortomesenteric distance is 2–8 millimeters, as opposed to the typical 10–20.[1] However, a narrow SMA angle alone is not enough to make a diagnosis, because patients with a low BMI, most notably children, have been known to have a narrow SMA angle with no symptoms of SMA syndrome.[2]
"
Sucrase-isomaltase deficiency,https://en.wikipedia.org/wiki/Sucrase-isomaltase_deficiency,S,"Sucrose intolerance or genetic sucrase-isomaltase deficiency (GSID) is the condition in which sucrase-isomaltase, an enzyme needed for proper metabolism of sucrose (sugar) and starch (e.g., grains), is not produced or the enzyme produced is either partially functional or non-functional in the small intestine. All GSID patients lack fully functional sucrase, while the isomaltase activity can vary from minimal functionality to almost normal activity. The presence of residual isomaltase activity may explain why some GSID patients are better able to tolerate starch in their diet than others with GSID.
"
Succinic semialdehyde dehydrogenase deficiency,https://en.wikipedia.org/wiki/Succinic_semialdehyde_dehydrogenase_deficiency,S,"Succinic semialdehyde dehydrogenase deficiency (SSADHD) is a rare autosomal recessive disorder[1] of the degradation pathway of the inhibitory neurotransmitter γ-aminobutyric acid, or GABA.  The disorder has been identified in approximately 350 families, with a significant proportion being consanguineous families.[2]  The first case was identified in 1981 and published in a Dutch clinical chemistry journal that highlighted a number of neurological conditions such as delayed intellectual, motor, speech, and language as the most common manifestations. Later cases reported in the early 1990s began to show that hypotonia, hyporeflexia, seizures, and a nonprogressive ataxia were frequent clinical features as well.[3]
"
Sudden cardiac death,https://en.wikipedia.org/wiki/Sudden_cardiac_death,S,"
"
Succinate coenzyme Q reductase deficiency of,https://en.wikipedia.org/wiki/Succinate_coenzyme_Q_reductase_deficiency_of,S,"Mitochondrial complex II deficiency, also called CII deficiency, is a rare mitochondrial disease caused by deficiency of mitochondrial complex II, also known as Succinate dehydrogenase (SDH). SDH plays a key role in metabolism; the catalytic end, made up of SDHA and SDHB oxidizes succinate to fumarate in the tricarboxylic acid (TCA) cycle. The electrons from this reaction then reduce FAD to FADH2, which ultimately reduces ubiquinone to ubiquinol in the mitochondrial electron transport chain. As of 2020, about 61 cases have been reported with genetic studies,[1] but there are also documented cases of CII deficiencies as determined by biochemical and histological analysis without genetic studies. [2]
"
Sucrose intolerance,https://en.wikipedia.org/wiki/Sucrose_intolerance,S,"Sucrose intolerance or genetic sucrase-isomaltase deficiency (GSID) is the condition in which sucrase-isomaltase, an enzyme needed for proper metabolism of sucrose (sugar) and starch (e.g., grains), is not produced or the enzyme produced is either partially functional or non-functional in the small intestine. All GSID patients lack fully functional sucrase, while the isomaltase activity can vary from minimal functionality to almost normal activity. The presence of residual isomaltase activity may explain why some GSID patients are better able to tolerate starch in their diet than others with GSID.
"
Subependymal nodular heterotopia,https://en.wikipedia.org/wiki/Subependymal_nodular_heterotopia,S,"Gray matter heterotopia is a neurological disorder caused by gray matter being located in an atypical location in the brain.[1] 
"
Subvalvular aortic stenosis,https://en.wikipedia.org/wiki/Subvalvular_aortic_stenosis,S,"Canine subvalvular aortic stenosis (SAS) is an abnormal, congenital heart murmur caused by subaortic stenosis (SAS).
"
Sudden infant death syndrome,https://en.wikipedia.org/wiki/Sudden_infant_death_syndrome,S,"


"
Subpulmonary stenosis,https://en.wikipedia.org/wiki/Subpulmonary_stenosis,S,"
"
Subacute sclerosing leucoencephalitis,https://en.wikipedia.org/wiki/Subacute_sclerosing_leucoencephalitis,S,"Subacute sclerosing panencephalitis (SSPE), also known as Dawson disease, is a rare form of progressive brain inflammation caused by a persistent infection with the measles virus. The condition primarily affects children, teens, and young adults. It has been estimated that about 2 in 10,000 people who get measles will eventually develop SSPE.[1] However, a 2016 study estimated that the rate for unvaccinated infants under 15 months was as high as 1 in 609.[2][3] No cure for SSPE exists, and the condition is almost always fatal. SSPE should not be confused with acute disseminated encephalomyelitis, which can also be caused by the measles virus, but has a very different timing and course.[4]
"
Subacute sclerosing panencephalitis,https://en.wikipedia.org/wiki/Subacute_sclerosing_panencephalitis,S,"Subacute sclerosing panencephalitis (SSPE), also known as Dawson disease, is a rare form of progressive brain inflammation caused by a persistent infection with the measles virus. The condition primarily affects children, teens, and young adults. It has been estimated that about 2 in 10,000 people who get measles will eventually develop SSPE.[1] However, a 2016 study estimated that the rate for unvaccinated infants under 15 months was as high as 1 in 609.[2][3] No cure for SSPE exists, and the condition is almost always fatal. SSPE should not be confused with acute disseminated encephalomyelitis, which can also be caused by the measles virus, but has a very different timing and course.[4]
"
Subcortical laminar heterotopia,https://en.wikipedia.org/wiki/Subcortical_laminar_heterotopia,S,"Gray matter heterotopia is a neurological disorder caused by gray matter being located in an atypical location in the brain.[1] 
"
Subacute cerebellar degeneration,https://en.wikipedia.org/wiki/Subacute_cerebellar_degeneration,S,"Cerebellar degeneration is a condition in which cerebellar cells, otherwise known as neurons, become damaged and progressively weaken in the cerebellum.[1] There are two types of cerebellar degeneration; paraneoplastic cerebellar degeneration, and alcoholic or nutritional cerebellar degeneration.[2] As the cerebellum contributes to the coordination and regulation of motor activities, as well as controlling equilibrium of the human body, any degeneration to this part of the organ can be life-threatening. Cerebellar degeneration can result in disorders in fine movement, posture, and motor learning in humans, due to a disturbance of the vestibular system. This condition may not only cause cerebellar damage on a temporary or permanent basis, but can also affect other tissues of the central nervous system, those including the cerebral cortex, spinal cord and the brainstem (made up of the medulla oblongata, midbrain, and pons).[2]
"
Stye,https://en.wikipedia.org/wiki/Stye,S,"A stye, also known as a hordeolum, is a bacterial infection of an oil gland in the eyelid.[4] This results in a red tender bump at the edge of the eyelid.[1][5] The outside or the inside of the eyelid can be affected.[3]
"
"Stuart factor deficiency, congenital","https://en.wikipedia.org/wiki/Stuart_factor_deficiency,_congenital",S,"Factor X deficiency (X as Roman numeral ten)  is a bleeding disorder characterized by a lack in the production of factor X (FX), an enzyme protein that causes blood to clot in the coagulation cascade. Produced in the liver FX when activated cleaves prothrombin to generate thrombin in the intrinsic pathway of coagulation. This process is vitamin K dependent and enhanced by activated factor V.
"
Strudwick syndrome,https://en.wikipedia.org/wiki/Strudwick_syndrome,S,"Spondyloepimetaphyseal dysplasia is a genetic condition affecting the bones.[1]
"
Sturge–Weber syndrome,https://en.wikipedia.org/wiki/Sturge%E2%80%93Weber_syndrome,S,"Sturge–Weber syndrome, sometimes referred to as encephalotrigeminal angiomatosis, is a rare congenital neurocutaneous disorder (also known as phakomatoses). It is often associated with port-wine stains of the face, glaucoma, seizures, intellectual disability, and ipsilateral leptomeningeal angioma (cerebral malformations and tumors). Sturge–Weber syndrome can be classified into three different types. Type 1 includes facial and leptomeningeal angiomas as well as the possibility of glaucoma or choroidal lesions. Normally, only one side of the brain is affected. This type is the most common. Type 2 involvement includes a facial angioma (port wine stain) with a possibility of glaucoma developing. There is no evidence of brain involvement. Symptoms can show at any time beyond the initial diagnosis of the facial angioma. The symptoms can include glaucoma, cerebral blood flow abnormalities and headaches. More research is needed on this type of Sturge–Weber syndrome. Type 3 has leptomeningeal angioma involvement exclusively. The facial angioma is absent and glaucoma rarely occurs. This type is only diagnosed via brain scan.[1]
"
Stuccokeratosis,https://en.wikipedia.org/wiki/Stuccokeratosis,S,"A seborrheic keratosis is a non-cancerous (benign) skin tumour that originates from cells, namely keratinocytes, in the outer layer of the skin called the epidermis. Like liver spots, seborrheic keratoses are seen more often as people age.[4][5]
"
Strychnine poisoning,https://en.wikipedia.org/wiki/Strychnine_poisoning,S,"Strychnine poisoning is poisoning induced by strychnine. It can be fatal to humans and other animals and can occur by inhalation, swallowing or absorption through eyes or mouth. It produces some of the most dramatic and painful symptoms of any known toxic reaction, making it quite noticeable and a common choice for assassinations and poison attacks. For this reason, strychnine poisoning is often portrayed in literature and film, such as the murder mysteries written by Agatha Christie.[1]
"
Strongyloidiasis,https://en.wikipedia.org/wiki/Strongyloidiasis,S,"
"
Strømme syndrome,https://en.wikipedia.org/wiki/Str%C3%B8mme_syndrome,S,"
"
Stratton–Parker syndrome,https://en.wikipedia.org/wiki/Stratton%E2%80%93Parker_syndrome,S,"Stratton parker syndrome is a rare disorder characterized by short stature, wormian bones (extra cranial bones), and dextrocardia (displaced heart).[1] Other symptoms include dermatoglyphics, tooth deformities or missing teeth, abnormal kidney development, shortened limbs, intellectual disability, undescended testes or cryptorchidism, and anal atresia.[1] The condition was first described by Stratton and Parker in 1989,[2] and there have been only four reported cases worldwide.[3]
"
Strep throat,https://en.wikipedia.org/wiki/Strep_throat,S,"


"
Striatonigral degeneration infantile,https://en.wikipedia.org/wiki/Striatonigral_degeneration_infantile,S,"

"
Storage pool platelet disease,https://en.wikipedia.org/wiki/Storage_pool_platelet_disease,S,"Platelet storage pool deficiency is a family of clotting disorders characterized by deficient granules in platelets. Individuals with these disorders have too few or abnormally functioning alpha granules, delta granules, or both alpha and delta granules and are therefore unable to form effective clots, which leads to prolonged bleeding.[3][4] Platelet storage pool deficiency can be acquired or inherited.[3]
"
Strabismus,https://en.wikipedia.org/wiki/Strabismus,S,"


"
Stomatitis,https://en.wikipedia.org/wiki/Stomatitis,S,"Stomatitis is inflammation of the mouth and lips.[1] It refers to any inflammatory process affecting the mucous membranes of the mouth and lips, with or without oral ulceration.[2]
"
Stomach cancer,https://en.wikipedia.org/wiki/Stomach_cancer,S,"

"
Amniotic band syndrome,https://en.wikipedia.org/wiki/Amniotic_band_syndrome,S,"Constriction ring syndrome (CRS) is a congenital disorder with unknown cause. Because of the unknown cause there are many different, and sometimes incorrect, names. It is a malformation due to intrauterine bands or rings that produce deep grooves in (most commonly distal) extremities such as fingers and toes. In rare cases the constriction ring can form around other parts of the fetus and cause amputation or even intrauterine death. The anatomy proximal to the site of constriction (or amputation) is developmentally normal.[2][3][4]
CRS can be associated with other malformations, with club foot being most common.[5][6][7]
The precise configuration of the bands, lymphedema, and character of the amputations are not predictable and vary with each individual patient. Also, more than one extremity is usually affected, and it is rare for only one ring to present as an isolated malformation with no other manifestation of this syndrome.[2][3][8][9]
"
Stimmler syndrome,https://en.wikipedia.org/wiki/Stimmler_syndrome,S,"Stimmler syndrome is a rare autosomal recessive[1] congenital disorder first described by Stimmler et al. in 1970.[2] It is characterized by dwarfism, diabetes, a small head, and high levels of alanine in the urine.[3]
"
"Streptococcus, Group B","https://en.wikipedia.org/wiki/Streptococcus,_Group_B",S,"
"
Stimulant psychosis,https://en.wikipedia.org/wiki/Stimulant_psychosis,S,"

"
